Alaa|Abdelnaby|240|1968-06-24
Kareem|Abdul-jabbar|225|1947-04-16
Tariq|Abdul-wahad|223|1974-11-03
Shareef|Abdur-rahim|225|1976-12-11
Tom|Abernethy|220|1954-05-06
Mark|Acres|220|1962-11-15
Charles|Acton|210|1942-01-11
Alvan|Adams|210|1954-07-19
Don|Adams|210|1947-11-27
George|Adams|210|1949-05-15
Hassan|Adams|220|1984-06-20
Rafael|Addison|215|1964-07-22
Arron|Afflalo|215|1985-11-15
Maurice|Ager|202|1984-02-09
Mark|Aguirre|232|1959-12-10
Matt|Aitch|230|1944-09-21
Alexis|Ajinca|220|1988-05-06
Henry|Akin|225|1944-07-31
Mark|Alarie|217|1963-12-11
Gary|Alcorn|225|1936-10-08
LaMarcus|Aldridge|240|1985-07-19
Chuck|Aleksinas|260|1959-02-26
Courtney|Alexander|205|1977-04-27
Gary|Alexander|240|1969-11-01
Victor|Alexander|265|1969-08-31
Joe|Alexander|230|1986-12-26
Bill|Allen|205|1945-01-01
Bob|Allen|205|1946-07-17
Malik|Allen|225|1978-06-27
Randy|Allen|220|1965-01-26
Ray|Allen|205|1975-07-20
Willie|Allen|230|1949-02-08
Tony|Allen|214|1982-01-11
Lance|Allred|250|1981-02-02
Darrell|Allums|220|1958-09-12
Morris|Almond|225|1985-02-02
Derrick|Alston|225|1972-08-20
Peter|Aluma|260|1973-04-23
John|Amaechi|270|1970-11-26
Ashraf|Amaya|230|1971-11-23
Louis|Amundson|225|1982-12-07
Chris|Andersen|230|1978-07-07
David|Andersen|245|1980-06-23
Antonio|Anderson|214|1985-06-05
Ryan|Anderson|240|1988-05-06
Alan|Anderson|220|1982-10-16
Danw|Anderson|230|1943-02-15
Eric|Anderson|220|1970-05-26
Nick|Anderson|205|1968-01-20
Richard|Anderson|240|1960-11-19
Ron|Anderson|215|1958-10-15
Shandon|Anderson|208|1973-12-31
Cadillac|Anderson|230|1964-06-22
Wally|Anderzunas|220|1946-01-11
Martynas|Andriuskevicius|240|1986-03-12
Michael|Ansley|225|1967-02-08
Chris|Anstey|249|1975-01-01
Joel|Anthony|260|1982-08-09
Carmelo|Anthony|220|1984-05-29
Rafael|Araujo|280|1980-08-12
Stacey|Arceneaux|210|1936-02-17
Robert|Archibald|250|1980-03-29
Jim|Ard|215|1948-09-19
Joe|Arlauckas|230|1965-07-20
Bob|Armstrong|220|1933-06-17
Hilton|Armstrong|235|1984-11-23
Jesse|Arnelle|220|1933-12-30
Bob|Arnzen|205|1947-11-03
Carlos|Arroyo|220|1979-07-30
Ron|Artest|244|1979-11-13
Darrell|Arthur|225|1988-03-25
Vincent|Askew|210|1966-02-28
Stacey|Augmon|205|1968-08-01
James|Augustine|235|1984-02-27
Isaac|Austin|255|1969-08-18
Ken|Austin|205|1961-07-15
Anthony|Avent|235|1969-10-18
Dennis|Awtrey|235|1948-02-22
Kelenna|Azubuike|220|1983-12-16
Milos|Babic|240|1968-11-23
Henry|Bacon|205|1948-07-05
Jim|Baechtold|205|1927-12-09
Dalibor|Bagaric|255|1980-02-07
Carl|Bailey|210|1958-04-23
James|Bailey|220|1957-05-21
Thurl|Bailey|215|1961-04-07
Toby|Bailey|213|1975-11-19
Jimmie|Baker|220|1953-12-25
Vin|Baker|232|1971-11-23
Renaldo|Balkman|208|1984-07-14
Cedric|Ball|210|1968-04-16
Greg|Ballard|215|1955-01-29
Gene|Banks|215|1959-05-15
Walker|Banks|205|1947-08-26
Marcus|Banks|220|1981-11-19
Ken|Bannister|235|1960-04-01
John|Barber|210|1927-06-27
Andrea|Bargnani|250|1985-10-26
Tom|Barker|225|1955-03-11
Charles|Barkley|250|1963-02-20
Harry|Barnes|205|1945-07-25
Jim|Barnes|210|1941-04-13
Marvin|Barnes|210|1952-07-27
Matt|Barnes|235|1980-03-09
Norton|Barnhill|205|1953-07-15
John|Barr|205|1918-08-18
Earl|Barron|268|1981-08-14
Rick|Barry|205|1944-03-28
Vic|Bartolome|230|1948-09-29
Eddie|Basden|215|1983-02-15
Brandon|Bass|240|1985-04-30
Tim|Bassett|225|1951-04-01
Maceo|Baston|215|1975-05-29
Mengke|Bateer|290|1975-11-20
Billyray|Bates|210|1956-05-31
Esteban|Batista|270|1983-09-02
Mike|Batiste|225|1977-11-21
Tony|Battie|230|1976-02-11
Shane|Battier|220|1978-09-09
Kenny|Battle|210|1964-10-10
Dave|Batton|240|1956-03-26
Lonny|Baxter|260|1979-07-27
Elgin|Baylor|225|1934-09-16
Howard|Bayne|235|1942-07-28
John|Beasley|225|1944-02-05
Michael|Beasley|235|1989-01-09
Jerome|Beasley|241|1980-05-17
Zelmo|Beaty|225|1939-10-25
Byron|Beck|225|1945-01-25
Art|Becker|205|1942-01-12
Bob|Bedell|205|1944-06-26
William|Bedford|225|1963-12-14
Elmer|Behnke|210|1929-02-03
Raja|Bell|215|1976-09-19
Walt|Bellamy|225|1939-07-24
Jonathan|Bender|202|1981-01-30
Benoit|Benjamin|250|1964-11-22
Mario|Bennett|235|1973-08-01
Winston|Bennett|210|1965-02-09
David|Benoit|220|1968-05-09
Kent|Benson|235|1954-12-27
Gary|Bergen|210|1932-07-16
Larry|Bergh|210|1945-04-02
Ricky|Berry|205|1964-10-06
Walter|Berry|215|1964-05-14
Andris|Biedrins|240|1986-04-02
Don|Bielke|240|1949-11-24
Bob|Bigelow|215|1953-12-26
Lionel|Billingy|215|1952-01-01
Chauncey|Billups|202|1976-09-25
Joe|Binion|235|1961-03-26
Jerry|Bird|210|1935-02-02
Larry|Bird|220|1956-12-07
Uwe|Blab|252|1962-03-26
Tom|Black|220|1941-07-09
Cory|Blackwell|210|1963-03-27
Alex|Blackwell|250|1970-06-27
DeJuan|Blair|265|1989-04-22
Ricky|Blanton|215|1966-04-21
Andray|Blatche|235|1986-08-22
John|Block|207|1944-04-16
Corie|Blount|240|1969-01-04
Mark|Blount|230|1975-11-30
Tom|Boerwinkle|265|1945-08-23
Keith|Bogans|215|1980-05-12
Andrew|Bogut|245|1984-11-28
Etdrick|Bohannon|220|1973-05-29
